Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Birth_Date,Team,KO_TKO_Wins,Submission_Wins,Decision_Wins,Total_Control_Time,Total_Advancements,Total_Reversals,Total_Slams,Distance_Strikes,Clinch_Strikes,Ground_Strikes,Head_Strikes,Body_Strikes,Leg_Strikes,UFC_Debut_Date,Title_Fight_Record,Main_Event_Record,Fight_of_Night_Awards,Performance_of_Night_Awards
ShimonSmotritsky,Welterweight Division,nan-nan,Active,24.0,"6' 2""",170 lbs,"74""",,,Xtreme Couture,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShinshoAnzai,Welterweight Division,nan-nan,Active,39.0,"5' 7""",170 lbs,"70.5""",,,Team Climb,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShinHaraguchi,Featherweight Division,nan-nan,Active,26.0,"5' 5""",145 lbs,"68""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shi Ming,Women's Strawweight Division,nan-nan,Active,30.0,"5' 2""",115 lbs,"60""",,,China Catch Wrestling,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShoheiNose,Bantamweight Division,nan-nan,Active,27.0,"5' 6""",135 lbs,"68""",,,Master Japan,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShonieCarter,nan Division,nan-nan,Active,53.0,"5' 9""",170 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,223,398,56.0,44.0,223.0,,,,,,10,0,0,0,150.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShonteBarnes,Middleweight Division,nan-nan,Active,38.0,"5' 11""",185 lbs,"76""",,,American Top Team Asheville,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,22,51,43.1,56.9,22.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sho PatrickUsami,Lightweight Division,nan-nan,Active,25.0,"5' 9""",155 lbs,"70""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShunichiShimizu,Bantamweight Division,nan-nan,Active,40.0,"5' 6""",135 lbs,"66""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShuyaKamikubo,Bantamweight Division,nan-nan,Active,30.0,"5' 5""",135 lbs,"68""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
